Participant number,1.1 Fictional story or scene,"1.2 Abstract shapes, colors or patterns","1.3 Smells, tastes or other sensory sensations",1.4 Experiences from my life,"1.5 Memories from media such as films, TV, or video games",1.6 Thoughts about the music,1.7 Thoughts about the future or personal plans,1.8 Thoughts about the building or space,1.9 Everyday stuff,Select the movement during which you imagined the most vivid memory.,Please describe the memory in as much detail as possible.,To what degree do you think these memories were prompted by the music you just heard?,To what degree did these memories come to mind spontaneously (without special effort)?,Would you say that the memories you experienced were individual to you?,Select the movement during which you imagined the most vivid fictional story or scene.,Please describe the story or scene in as much detail as possible.,To what degree do you think these imaginings were prompted by the music you just heard?,To what degree did these imaginings come to mind spontaneously (without special effort)?,Would you say that the imaginings you experienced were individual to you?,"If you would like to add any further information, such as another movement that elicited a strong response, please do so here.",Please enter your age,Please select your gender,Please indicate how frequently you listen to classical music,For how many years hae you engaged in regular daily practice of a musical instrument (including voice)?,"Please indicate the part of the auditorium in which you are seated, using the map below for reference."
70,2,,3,,,,,,,"B1, B3, B4, H4","1) Wailing of violins in concert halls, with wet pavement outside - from Paul Jennings, British columnist & humanist, noted for ""oddly"" book series.   2) Mud pots, bubbling upwards (i.e. geothermal type.     3) Small groupings of small birds, flying up &down inside a cavernous old brick faculty building (the type with ranks & ranks of small windows) birds are seeking a window from which to escape, unsuccessfuly.     4) Tightly modulated scales of music like viewing a finely mandolined large vegetable such as a cucumber, with the stack of slides sliding diagonally into the scales",4,5,5,B4,"Robin Hood has just returned towards his troupe in Sherwood Forest after one of his numerous hair-raising encounters with the rather inquisitions. Sheriff of the local town, and is enjoying the melodious stirrings of the forest trees, accompanied by flashes of dappled sunlight, which ahve a heartwarming familiarity to him.",4,5,5,,72,Male,3,0,K
71,3,2,1,3,2,4,2,3,1,B3,"Not super imaginative - this was of playing variation quartet sherzi with my husband and kids, and especially the faces and hands of the kids when they were younger and variation disussions of why ""seherzin"" are so called ie ""jokes"" in Italian and how our little one Roberto found that funny",5,5,5,"B2, H2","This was slightly inspired by a movie I just saw ""The Return"" thinking this would have made a much better soundtrack but then I started just thinking of the mood of the movement and what kind of love story it would involve and I thought probably one of absence. ",4,5,5,A l'hotel --> I wrote an entire story about people ___ and going in the hotel foyer. ,52,Female ,5,,I 
72,2,1,1,2,1,4,1,1,2,"B4, H6",At these times I remember thinking about all the times I've attended concerts and rely ___ sources in this space,3,4,4,"B1, H5",In movement 5 (Hough) I was glued in because the composer said it was the bleakest wound,3,4,2,,60,Male,3,6,J
73,1,1,1,2,1,3,3,3,3,H1,It's a memory of watching an old black and white film - people moving jumpily at odd speeds,5,2,2,,Oh dear - I have no fictional imaginings ,,,,I don't think I day dream anymore. I did when I was younger,67,Female ,3,0,J 
74,1,1,1,1,1,5,1,2,2,,I don't daydream when I listen to something like a string quartet,,,,,,,,,I watch the players and try to keep my mind as clear as possible to focus on the music. It's easy to do listening to such a truly focused group of musicians like the Takacs Quartet. ,,Female ,5,,J
75,1,2,1,1,2,4,1,2,2,H6,Reminded me of rushing through a Parisian street,5,4,1,H6,Rushing through crowded streets trying to keep up with my husband ,4,"4,5",1,,74,Female ,4,,I 
76,3,1,1,4,3,3,1,1,2,"B2, H3","It was a memory of a loss in my life, the loss of the love of my life
I imagine so well the busy life of a busy hotel. The image was so vivid. It's interesting, that out of all movements I remember the best the hotel :). But maybe because I recently stayed in one, and the memories are fresh still. ",5,1,5,"B1, H1","I had a vision of the scene that happened long time ago, when Beethoven just composed this Quartet, and it was a premier. How he listened critically the 1st performance of his creation. I imagined the feelings he could have. 
I kind of was given directions for the image; the busy street of 1920th in Paris: the cars, people walking ",5,5,5,,49,Female ,5,,I 
77,1,1,1,2,1,,2,3,1,B3,Baking with my son when he was little. He was very agitated and excited. ,2,4,5,,None. I didn't experience any fictional scenes. ,1,1,1,no,45,N/A,5,38,J
78,1,3,1,3,1,4,2,1,3,,"On the street in a busy market. Occasional bursts of color, of vocal outburst. ",4,4,5,H6,See above- - just as applicable here ,4,4,5,,74,Male ,5,20,K 
79,2,3,1,2,1,4,3,2,3,"B3, B4, H3, H6",2,2,3,,,,3,4,4,,86,Male ,4,75,I 
80,2,1,1,4,1,3,2,2,2,B1,"I remembered living in France 15 years ago. Specifically, I remembered walking up the steps in monmtre toward sacre coevr. ",3,5,4,B3,"I imagined a dinner table that all around sat robots instead of people. There was no food or drink and the robots were large and boxy like a child's halloween costume, they weren't speaking, just moving in a ""robotic"" way in small jerky movements.",4,5,5,"I experienced lots of nature/flowers, water, plants etc imagery especially during Beethoven's 2nd movement. Specifically a scene of a field with yellow buttercups and cattails swaying in wind ",33,Female ,4,0,H
81,3,1,1,4,1,4,2,1,1,H3,"A busy urban center old style hotel, very big, rooms sold out, very busy at lobby desk ",4,5,3,B2,Only 1 air traffic controller remains at JFK airport because all the rest were laid off. He is scrambling to run all functions and there is complete chaos,3,5,5,Hough 2 - a peaceful serene park,70,Male,4,10,B
82,2,2,2,2,3,4,3,2,1,H3,"I was thinking about my experience/ memory walking on the Washington Bridge and looking over to the frozen Lake Carnegie. This is a thing I do almost daily, so I recently I have been staring/seeing the frozen lake everyday. I recalled the cracks and blemishes on the ice surface (and thought about what would it be like to walk on them). Somehow this movement made me a bit cold. ",3,4,5,B2,"This movement conjured a field of flowers in my mind. More specifically, it's an open field of grass with lots of small flowers (daisies, buttercups perhaps). I also imagined a clear sky in the background. ",3,4,4,,24,Non-binary,5,5,C
83,1,3,1,3,1,4,1,1,1,B2,"A long time ago I heard this piece for the first time. Went in one ear and out the other. Same (mostly) the other times I've heard it. This time I was shattered. It was beatifully played, true but more, I'm old and hearing this and feeling my heart breaking, I realized something I hadn't quite before. You change much faster when you're old than when you're young. ",4,5,,,,,,,Just a thought. Does the knowledge that you'll be writing about something cause you to think differently during the performance? How would you test this in your reserach? I don't have any good ideas. ,80,Female ,5,0,F
84,2,3,2,4,2,5,5,3,2,"B2, H2",I played the violin part of the Beethoven in an amateur quartet. Walking in the park!,3,4,4,"B2, H2",,4,5,4,,,Male,5,80,H
85,1,1,1,1,1,1,1,1,1,,None,1,1,1,,none,1,1,1,I attend concerts to watch the performers. I listen to the music ,77,Male ,5,0,B
86,1,1,1,1,1,1,1,1,1,,None,1,1,1,,none,1,1,1,,77,female ,4,,B
87,1,1,1,1,3,5,,2,2,,It was beautiful. Relaxing. Could have been a full orchestra playing. Love watching musicians. Feel the music they are playing,4,5,2,,,1,1,1,,66,Female ,5,1,I 
88,4,2,1,3,2,4,3,1,3,"B4, H3",I remembered the time I saw Carmen at the Met opera ,4,4,4,H3,I imagined a monk tip-toeing at night. Then I thought of an elephant swaying under the stars,5,5,4,"Beethoven 1 - clouds in breeze/ river running water 
Beethoven 3 - rabbit hopping 
Hough 1 - chickens in Polish village chasing grain 
Hough 6 - Allied victory, soldiers marching through France on street (photo)",38,Male ,5,4,A
89,1,1,1,1,1,4,1,2,1,,,,,,,,,,,I was concentrating on the musicians. To see who was playing what. The difference in the tone of the two violins was interesting.,83,Male,4,70,I 
90,1,1,1,3,1,4,3,1,1,"B1, H6",,2,5,5,"B1, H6","Imaging the Composer writing - at piano, in ___ home, imaging the process of genius creativity ",4,4,2,,74,Female ,2,0,J 
91,1,3,1,3,1,4,1,1,1,"B2, H4, H5","Thinking of my husband who died - especially in the Hough, Marcel Proust, this specialty, loosens, sadness too. Personal to be particular losing my diamond car crash urban my daughter was 3, ate Hough - very sad movememnts 4 + 5",1,1,1,,This is not constructed well - no imaginings ,1,1,1,Dead husband - ,82,Female ,5,,H 
92,,,,2,4,,,,2,B2,"Memories were almost absent, but I did think back on a good class with ___ books, and how much the students enjoyed seeing them.",1,5,5,,I don't recall this happening at all ,1,1,1,"I thought about musical compositions almost the whole time. What to do, and violin, and how. Imagining different direction; contrasts of high/low, long/short, soft/loud, many/few. How to learn from Beethoven - how to imagine the Hough! Taking personal notes on how to compose, if I were to try. ",59,Male ,4,13,J 
93,2,1,1,3,1,4,1,1,1,"B2, H3","Thoughts of my grandmother and her life - sadness and happiness around her family. Confusion, taurmoil, despair of the current world.",4,3,4,"H3, H4","Individual feeling alone, depressed, looking for some hope ",3,3,3,,75,Female ,2,5,J 
94,3,1,2,3,1,4,2,2,3,H1,"Strolling in paris as a kid. First time I visited. People, faces, noise. I also thought about boule randous Berlin ",4,1,5,H2,"Strolling among beautiful nature very greenish. Spring time. People picnicking on the grass. Children playing ball and frisbee. A few years ago, 1980s? ",3,3,4,"The adagio make me happy I was transported fully into the melody 
First question primed the rest of the questionaire. I would have placed it at the end. ",57,Female,5,0,A
95,2,1,1,2,1,5,3,2,3,H1,"The music felt babbly, which made me think of champagne - which made me think of dinking champagne with my wife the weekend we became engaged. We received a gift of two beautiful champagne flutes and a bottle, and a friend took a photo of us through one of the filled, fizzing, glasses. The music evoked that fizzy, bubbly, happy moment for me. ",2,2,5,,I didn't experience a vivid fictional story or scene. ,,,,,47,Male ,5,41,C
96,4,2,1,4,4,5,1,2,4,H4,"Memories of emotional highs and lows - my parents, loves, fall scenes - melancholia mixed with longing for lost life moments. Parcuts, my father at the piano. My mother missing my father ",4,5,4,H6,"Intense industry. Factory processing with manic production. Unexpected sources of ___ ending home, exhausted and ready for quiet. ",4,5,4,,75,Male ,2,40,
97,4,2,2,5,1,5,5,5,5,"B2, H4, H5","Beethoven Adagio - beautiful long breath line scenery, home field scene
Hough; artistic view, museum visitings, dance scene ballet (modern) calligraphy paintings",4,4,4,"B3, H3","Beethoven - exotic feelings of folk stories, foreign culture 
Hough - French society - early 20th century, red moullerin, Les Six (musicians)",4,4,4,"Great music, performance in general. Great performing are with excellent undersatnding of style ",48,Female ,5,43,D
98,1,1,1,2,1,2,2,2,1,"B3, H6",Already forgot - like dreams - remember for only an instant and can't bring it back ,2,2,3,"B3, H6",,2,2,3,,79,Female ,5,40,H
99,1,3,1,4,1,5,4,1,4,B2,"I imagined moments in my life when I've felt immense pain - not a specfici memory of pain, but general resonance of the emotion ",5,5,2,B1,"I realized that daydreams don't come naturally to me - but when I tried to think of a specific fictional imaginging, I imagined galloping horses in the countryside during a bright sunny vividly green day",5,2,3,,31,Female ,5,,A
100,1,2,2,1,1,3,2,1,2,"B2, H5","Not so much a memory as emotion - warmth, summer, colors, water ",4,4,3,,I did not experience this ,5,5,4,"During the Hough, I experienced __ ___ of emotions that seemed to be expressed also in ___ to feelings in color and warmth ",81,Female ,3,,C
101,3,1,1,2,1,4,2,1,2,B3,I remembered attending a class about Beethoven and the teacher described how Beethoven would repeat a note or chord before changing to another key or theme. ,5,4,5,"B2, H2","Hough - remembered a park scene from Proust, in which the children were playing. 
Beethoven - romeo and juliet in the tomb.",4,4,5,The Hough movement that was dark reminded me of the horrors of WWII. Are we heading there again? What sort of life will my grandsons have?,70,Female ,3,0,B
102,5,2,3,1,3,5,2,2,1,"B4, H6",,5,5,1,"B4, H1",,5,5,1,,64,Male ,2,60,H
103,1,1,1,2,1,3,1,1,3,H1,Strolling down the grand boulevard in Paris. The view down the Champs-Élysées forom Grande Arche de la Défense,3,2,5,,Didn't have any fictional imaginings ,1,1,1,,80,Female ,3,60,B
104,4,1,3,3,3,5,3,1,1,B1 ,"Happy, sunny, uplifting. We often listen to uplifting classical happy music during breakfast with out children growing up reminds me of a happy, birght start to the day. Also, spending many springs in London, visitng gardens, galleries and museums ",5,5,2,"H4, H5","Brought to mind the manic, almost macbre feeling of the drift from a happier period to a tragic, scary next stage ",5,5,1,"Beethoven movement #3 same as movement #1 brought to mind a happier, positive and simpler time",68,Female ,4,0,A
105,2,2,1,3,1,4,1,1,1,,Daily memories of playing this with friends much more slowly and no where near the depth and understanding,5,5,5,B2,Snatches of a beautiful lady the lower voices were a heart beat ,5,3,1,,87,Female,5,80,B
106,4,4,2,1,1,5,3,1,1,H2,Raindrops sound. A park without any people. Little loneliness. Some emotional history ,4,2,4,B1,romantic and dramatic story. dancing woman and man ,4,2,3,"Tangled ribbons, resonated (sound) waves. dance (stands out the most), play, poem, ",27,Female ,4,25,C
107,1,1,1,2,1,5,1,2,1,,,,,,,,,,,This survey does not work for me. I am afraid I think almost exclusively about the form of the music and the performance. To the extent I am just thinking about ___ I am thinking of the performers. Sorry! ,90,Male ,5,10,E
108,1,1,1,1,1,1,3,2,3,,,1,1,5,,,1,1,5,,74,Female ,4,0,F
109,3,2,1,1,1,4,2,2,1,B1,No specific actual memory ,5,5,3,B1,"A lush pasture with the sun shining; then a storm brewing, and finally clearing ",5,5,3,"Movement 5 of the Hough was exquisitely beautiful, in contrast with the more dissonant movement that preceeded it",51,Male,4,45,C
110,1,1,1,1,3,3,1,1,3,"H4, H6",Thought of Muppets ,5,5,3,,Muppets Harold ___ sitting on the balcony ,5,5,3,,91,Male,5,0,C
111,1,1,3,1,1,4,1,1,1,H2,Thinking Manet Dehors et Sur L'herbe Grovinos for Sculpture version.,4,4,4,H1,Paris Last September,4,4,4,,72,Female,4,,H
112,1,1,3,1,1,4,1,2,1,,"No memories, just relaxed, peaceful, and removed from everyday life ",4,5,1,,,,,,,63,Male ,4,0,A
113,1,2,1,2,1,4,1,1,1,B2,,,,,B2,Sense of playfulness in a meadow. Perhaps animals or perhaps people. No story developed. The imaginings continued with no narrative ,5,5,2,,60,Female ,2,1,C
114,4,1,1,3,1,3,1,1,1,H1,Being at the NYC ballet watching/experiencing a balanchine ballet - modernist scenery; colorful costumes,5,3,4,B1,"Shorebirds running, exploring, frolicking, skirmishing, wading to and fro at the beach",5,3,4,,60,Female ,4,10,F
115,3,3,1,4,1,2,4,1,2,"B3, H5",A conversation I had had earlier that day about future plans before rushing to class. it was slightly frustrating,4,5,4,H2,"Rain drops in a pond, sunlight, a walk ",5,3,i don't understand this question,,19,Prefer not to say,3,12,A
116,1,1,1,1,1,4,1,1,2,B2,I enjoyed the music. Occasionally I thought of the papers I'm grading ,5,5,1,H2,I was walking through a park and listening to birds and trees ,5,5,1,,57,Female ,5,,A
117,1,1,1,1,1,3,1,1,2,,a big blank ,1,1,5,,N. a.,1,1,5,,81,Male ,4,,C
118,1,1,1,2,1,5,1,1,1,,I was just enjoying the music ,,,,,I was not imagining any scenes,,,,,75,Female ,3,,B
119,4,4,2,3,4,3,2,2,2,H3,Roaming through the woods leaping around live ,4,3,3,B3,Mine and tohe oral enjoying each other's company,4,3,3,I loved the exciting times of the music and the playing off of each other.,82,Female,3,50,B
120,4,2,1,3,1,3,1,1,2,B1,"Scene of children at play, throwing a ball around, having a little spat, laughing and yelling at each other",5,4,3,B2,"Journey through a woods, encountering sunlit glades and some dark regions filled with shadows - but then emerging back onto the path and seeing birds and flowers",4,3,4,The Hough didn't do it for me...,84,Male,3,0,F
