"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A my mind is too fatigued tonight. . wanting to shut down. The music does not leave a ___ in any way tonight... A clear indicator to and that I need to rest and recharge my batteries because usually my mind responds to music in a very imaginative and proactive expression of my feelings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"It detracted me from the music... was a good thing because I believe I am in a period of cognitive depletion... otherwise I would prefer not to link a survey with a performing arts experiences with rest immediately because it triggers a ""metric"" perception that in intersts of the visual perconsions I prefer to have __ by music.","64","71","Male","Moderately frequently",50,"I"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Br3","Only words the slimmers of the first por of the seeing did I ""see"" color in the post intermezzo part of the concert. Brahms had the crimson/purple not crayonized.",NA,NA,NA,"Br3",NA,NA,NA,NA,NA,NA,"65","81","Female","Very frequently",0,"E"
"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","A small amount of the time",NA,"no memories",NA,NA,NA,"Br2","Not being familiar with the piece most of my attention on or where the music was going. But the second movement I saw in terms of movement, dance, spirits moving through time (space-purning and separations).","Entirely","Entirely","Slightly","The 3rd + 4th movements talked to mind groups of people - official tours people talked to some sort of expression of feeling.",NA,"66","77","Female","Very frequently",20,"E"
"Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","All of the time","Not at all","Not at all","A small amount of the time","Br1","College course in which we studied this composition. Got acquainted with it, its structure, texture, tension, etc. I felt it intensely.","Slightly","Slightly","Slightly","Br3","I imagined Clara Schumann playing the piano with a quartet.","Mostly","Moderately","Moderately",NA,"I realized that I listened to 21st century classical music somewhat differently than other music. It is more evocative of scenes.","67","75","Female","Very frequently",4,"K"
"A small amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","Not at all","Not at all","Br1","Thought of my mother + my grandmother. How close they were. How my mother kept her deep love for her mother to herself, until her mother died and she experienced quiet but profound grief.","Moderately","Entirely","Entirely","Br4","I can't recall it, but it was very strange and it surprized me.","Mostly","Entirely","Entirely",NA,NA,"68","59","Female","Somewhat rarely",0,"J"
"Not at all","Not at all","Not at all","All of the time","All of the time","All of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","Br1","I was thinking of how popular Amadeus was. How it gave classical music a wide audience.","Entirely","Mostly","Entirely","Br4","Just thinking about music in historical times.","Entirely","Mostly","Moderately","I was thinking how nice it was to shut out politics and be in the moment.","interesting","69","54","Female","Moderately frequently",30,"J"
NA,NA,NA,"A moderate amount of the time","A small amount of the time","A moderate amount of the time",NA,NA,NA,"Br3","Just marvelous music, thrills every time I hear it! Memories of many previous encouters!","Mostly","Entirely","Moderately","Br2","Calm passages made me remember a type of dance (Inbibita, Romanian couple dance) - ordinarily a fiery type of melody, but then I found one that was serene, even placid. Never danced to that one, but if I found ever the right partner, would have -- name something like Carabasaska (carpet beetle), if I recall.","Entirely","Entirely","Mostly",NA,"Any opportunity to hear Brahms is a fine day!","70","72","Male","Moderately frequently",0,"K"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","All of the time","A small amount of the time","Not at all","Not at all",NA,"Not much in truth 
Vaguely of street players in T___","Entirely","Entirely","Slightly",NA,"Not much except an imagining the relationships between the players","Entirely","Entirely","Moderately",NA,NA,"71","52","Female","Very frequently",NA,"I"
"Not at all","Not at all","Not at all","A small amount of the time","A small amount of the time","Most of the time","Not at all","A small amount of the time","Not at all","Br1","I was brought back to the years I took piano lessons in my youth during the 1st movement. Hough's piano playing invoked those memories as soon as he started playing.","Mostly","Mostly","Moderately","Br4","I almost felt as if I was flying during the 4th movement","Mostly","Moderately","Slightly",NA,"It added a interesting dimension to the performance.","72","60","Male","Moderately frequently",6,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","Br3","Not really memories - just emotions","Mostly","Moderately","Moderately","Br3","Not really fictional - just emotional","Mostly","Moderately","Moderately",NA,"I felt like the questions didn't apply to me. I prefer to keep my mind as present in the music as possible.","73","67","Female","Moderately frequently",0,"J"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","A small amount of the time","A small amount of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chamber music is the most intense experience - watching the actions typical of the players fills my mind that's why I go","Questions don't apply to my experiences - I must be stranger than I realized","74",NA,"Female","Very frequently",NA,"J"
"A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","A small amount of the time","A small amount of the time","Br2","Stream coming down through a meadow halfway down a mountain - very green - water rushing fiercely","Moderately","Moderately","Not at all","Br2","2A","Moderately","Mostly","Not at all","Did really enjoy watching the musicians especially in the last piece - their movements and the intensity of their performance was fun","Sorry I couldn't remember very much of what I was thinking while listening - not good at expressing what I was thinking I mean","75","74","Female","Frequently",NA,"I"
"A small amount of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","All of the time","Not at all","Not at all","Not at all",NA,"Truly this time I couldn't relaxed and thought about what I could imagine, so I can put in a survey later. Also I just enjoyed the artful performance of the musicians, their perfect dialogue, being in sync so much!","Entirely","Entirely","Mostly",NA,"I already said that I didn't have much of the vivid scenes this time","Slightly","Entirely","Slightly",NA,"It would be great to learn the results! Good luck!","76","49","Female","Very frequently",NA,"I"
"A small amount of the time","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"I did not experience any memory",NA,NA,NA,"Br3","A story of Erlk<f6>nig came to mind during 3rd movement, a scene where a father was taking his sick child to see a doctor. The piano resembled a galloping horse. The music reminded me of Schubert's Erlk<f6>nig.","Entirely","Mostly","Moderately",NA,NA,"77","45","N/A","Very frequently",38,"J"
"Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br2","A sense of lullaby","Mostly","Slightly","Mostly","Br2","Again, much like above section","Mostly","Mostly","Mostly","The general unity of ensemble was wonderful. I was soon struck by how well Mr. Hough joined in the ensembles. Credit goes to him of course. But also to the technicious ... voiced the pieces. Excellent work.",NA,"78","74","Male","Very frequently",20,"K"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Br1, Br2, Br3, Br4","Classical music fills a large hole in my life first filled by a concert pianist mother who was head of piano at Westminster Choir college. I just enjoy listening and being filled with beautiful music.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","86","Male","Frequently",75,"I"
"A moderate amount of the time","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br1","I was at a work barbeque playing ping pong in the garage","Moderately","Mostly","Entirely","Br3","I was an animal, likely a horse galloping along a grassy lane lined with large, lichen-covered oak trees. Beyond the trees, were fake, wooden ocean waves and boats, like you would see in a theater set, moving slowly up and down","Mostly","Entirely","Entirely","In the last movement, I was entirely focused on the music, such that I almost completely stopped thinking.","I didn't entirely understand the question about the imaginings being unique to me. Aren't all my imaginings this?","80","33","Female","Frequently",0,"H"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","Most of the time","Not at all","Br3","Takacs another time - exciting","Mostly","Entirely","Moderately","Br4","My musician friend uses music to attack the new administration in Washington","Moderately","Entirely","Mostly",NA,"Put it to good use","81","70","Male","Frequently",10,"B"
"Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Not at all",NA,"Br4","This movement reminded me of the game that I'm playing (legend of zelda, Echoes of Wisdom). In particular, I thought about the dungeons and fighting through them. I don't think this was caused by anything directly from the movement, but just the general dramatic energies.","Not at all","Slightly","Entirely","Br1","I thought about my memories practicing the piano (in the summer). Thought about very pleasant memories, enjoying the practice, but also about the time that I was very angry and bashed on the piano - that part felt very unprompted and came out of the blue.","Slightly","Moderately","Entirely","Please see note about 2a-2B. Sorry about the trouble!","It would be nice to know about the online form in the beginning. Got to know about that halfway through so I didn't switch (but I would if I had filled out less..)","82","24","Non-binary","Very frequently",5,"C"
"Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br1, Br4","The first and fourth movement have that completely characteristic ""Brahmry"" sound, I thought a lot about a close, old friend (lives far away) whose favorite composer is Brahms and how much and in what different ways we loved this music.","Entirely","Entirely","Entirely",NA,NA,NA,NA,NA,"This is a pretty bad time in the world. When you hear music you wonder why we ever do anything bad.","Yes. Thank you. Made me think about how the way you hear music changes. You'll get a lot of old folks' thoughts out of this crowd.","83","80","Female","Very frequently",0,"F"
"A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time","All of the time","All of the time","A moderate amount of the time","A small amount of the time","Br2","Tranquility","Moderately","Mostly","Mostly","Br2",NA,"Not at all","Entirely","Mostly","Piano dominated performance and sometimes string didn't come through. It altered my response to the music","Worthwhile","84",NA,"Male","Very frequently",80,"H"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all","see part 1","no","85","77","Male","Very frequently",0,"B"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all",NA,"none","Not at all","Not at all","Not at all",NA,NA,"86","77","female","Frequently",NA,"B"
"Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","A small amount of the time","Not at all","Not at all","A small amount of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beautiful, relaxing","Excellent","87","66","Female","Very frequently",1,"I"
"A small amount of the time","Most of the time","A moderate amount of the time","Most of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Br1","Remembered video I saw earlier in the day about hospital case/clinical reasoning","Moderately","Mostly","Entirely","Br2","Forest with a river of running water. Lush greenery","Mostly","Mostly","Slightly","N/A","N/A","88","38","Male","Very frequently",4,"A"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The 2nd movement was so gorgeous I didn't want it to end, but I'm glad it ended before the truck outside started beeping.",NA,"89","83","Male","Frequently",70,"I"
"A moderate amount of the time","Not at all","Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Not at all","A small amount of the time","Br3","Poor respondent as I spend most time ____ the genius of composition and ___ face of performances","Mostly","Mostly","Mostly","Br3",NA,NA,NA,NA,NA,NA,"90","74","Female","Somewhat rarely",0,"J"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","It's impossible to relate every image, memory, word that goes through my mind. This is a silly questionaire. Mostly grey","Moderately","Moderately","Entirely",NA,"No fiction just memories","Not at all","Not at all","Not at all",NA,"poorly designed. Besides it diminishes enjoyment. I also watch the musicians - the big feet of the 1st violinist","91","82","Female","Very frequently",NA,"H"
NA,"A small amount of the time",NA,NA,NA,"Most of the time",NA,NA,NA,"Br3","Really thinking about where Brahms got his powerful gestures, ___ rhythms, ___ chord changes, and eternal contrasts... Nature? Something more abstract? Also focused on the physical demands on the artist.","Entirely","Mostly","Mostly","Br4","I breifuly saw rocky cliffs and pounding stream waves ... from the shape of the music","Entirely","Mostly","Mostly","Brahms ___ the most mental activity. I think - so much going on, biggest impression","Regret that the question and my experiences weren't really in sync - I did not dwell on memories or stories. Questions might have been more about the music than random thoughts...","92","59","Male","Frequently",13,"J"
"A moderate amount of the time","Not at all","Not at all","Not at all","A small amount of the time","Most of the time","Not at all","A small amount of the time","Not at all","Br4","Chaos, fury - fan","Mostly","Moderately","Not at all",NA,"none","Not at all","Not at all","Not at all","Found 2nd movement ___
3rd movement was mulitanistic to me","In some ways, it made me listen ""harder"" or with more focused attention knowing I had agreed/planned to fill out the survey","93","75","Female","Somewhat rarely",5,"J"
"Not at all","A small amount of the time","Not at all","Not at all","Not at all","Most of the time","A small amount of the time","Not at all","A small amount of the time",NA,NA,NA,NA,NA,NA,"I was mostly focused on music itself",NA,NA,NA,"I loved the 2nd and 3rd movement I was just immersed in the music and enjoying it","The survey has a strange structure. The first question primed the others. The audience was already thinking about what they are going to be asked while listening to the second half.","94","57","Female","Very frequently",0,"A"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","All of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br1","I thought of a concert I attended last season that included a performance of the Brahms quintet at the ___ ___ in NYC with Yannick N<e9>zet-S<e9>guin as the pianist. I couldn't help but draw contrasts between the physical spaces, the performances, and the context surrounding each event.","Mostly","Slightly","Mostly",NA,NA,NA,NA,NA,"I realized that I don't tend to imagine fictional stories when I listen to music","I think the knowledge that I'd be taking the survey caused me to be a bit more self-conscious about my listening, and my thoughts. - which somewhat distracted from being as completely focused as I usually am whne listening. I was thinking about monitoring myself in order to provide useful data, rather than fully engaging with the music. I'm not entirely sure how to resolve that in future experiments/surveys, but I thought it's worth mentioning.","95","47","Male","Very frequently",41,"C"
"Not at all","Not at all","Not at all","Not at all","A small amount of the time","All of the time","Not at all","Not at all","Not at all","Br3","Determination. It folllowed patterns and events marches toward an undetermined end. Parc music.","Slightly","Moderately","Slightly","Br3","Not so much imagery as music, energy and drive.","Mostly","Moderately","Not at all",NA,"I'm fascinated by the differences I process from one composer to the next. Hough was so vivid in imagery and Brahms was just music. I must admit Brahms has rarely spoken to me.","96","75","Male","Somewhat rarely",40,NA
"Not at all","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","All of the time","All of the time","All of the time","Br1, Br3, Br4","Childhood memory - I played this music. It's great to see the live performance again in such close setting.","Entirely","Entirely","Entirely","Br4","Moving from place to plave when I was younger","Entirely","Entirely","Entirely","The entire music is great memory of my piano playing when I was younger. Except I don't much memory of 2nd slower mov.","Good experience and very interesting in words expressions.","97","48","Female","Very frequently",43,"D"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A small amount of the time","Not at all","Br4","Playing Brahms cello sonanta and Schumann Piano Quintet","Mostly","Moderately","Mostly",NA,"Did not imagine a fictional story","Not at all","Not at all","Not at all",NA,NA,"98","79","Female","Very frequently",40,"H"
"Not at all","A moderate amount of the time","Not at all","A small amount of the time","Not at all","All of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Br3","In the march-like sections, I was reminded of my college graduation - of processing down the aisle to th eceremonial music.","Entirely","Mostly","Mostly","Br4","I can't truthfully say that I imagined a fictional story, but my impression of the final movement was one of a victory over an ominous force","Mostly","Moderately","Slightly",NA,"I hope we can do many more surveys!","99","31","Female","Very frequently",NA,"A"
"Not at all","A moderate amount of the time","A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Br2","More feelings/emotions than memories - first a light ___ that metamorphed to melancolic","Entirely","Entirely",NA,"Br2","See previous comment","Entirely","Entirely",NA,"I felt mostly senstations - warmth ___ vibrations, a sense of being captivated, sometimes a shudder rather than stories or images","This was very interesting. I look forward to reading results. Like any survey, I felt a bit boxed in because the questions didn't really allow me to express my experience with the music.","100","81","Female","Moderately frequently",NA,"C"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br2, Br4","I started thinking about my beloved father in law who was English, somewhat resembled the pianist. I thought about how much I miss him","Slightly","Mostly","Entirely",NA,NA,NA,NA,NA,NA,"I thought about the survey a lot while I was listening to the music!","101","70","Female","Moderately frequently",0,"B"
"All of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","All of the time","Not at all","Not at all","Not at all","Br4",NA,"Entirely","Entirely","Not at all","Br4",NA,"Entirely","Entirely","Not at all",NA,NA,"102","64","Male","Somewhat rarely",60,"H"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br3","The beginning of the 3rd movement brought to mind a parade on horseback in San Miguel de Allende in Mexico, celebrating Mexican Independence Day September 16, 1969. I remember the date very well because I spent most of that month in San Miguel, right before I moved to Princeton.","Moderately","Slightly","Entirely",NA,"I have no fictional associations with the music. I actually have to work very hard at daydreaming because my first response is to listen accutely to the music",NA,NA,NA,"The second movement of the Brahms was an Andante but in 3 beats per measure and it reminded me of Swedish music in that rhythm. I found that having to think about these things distracted from my enjoyment of the music.","See points above","103","80","Female","Moderately frequently",60,"B"
"A moderate amount of the time","Not at all","A small amount of the time","Most of the time","A moderate amount of the time","All of the time","Most of the time","Not at all","Not at all","Br3","Dramatic music reminds me of dramatic art - seeing strong, powerful pieces - goya in the prado, the dramatic size of whistlejacket at the national gallery","Entirely","Entirely","Moderately",NA,"B3",NA,"Entirely","Entirely","1","I enjoyed the opprtion to list the thoughts I often experience when listening to great muisc here int he series.","104","68","Female","Frequently",0,"A"
"Not at all","Not at all","Not at all",NA,"Not at all","All of the time","Not at all","Not at all","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I don't experience music as memories or thoughts. To me it is emotional - tender, sweet, intense, angry, etc. It is sound that interweaves complimnets - answers. It fills my soul - my breath - it lives in the moment.",NA,"105","87","Female","Very frequently",80,"B"
"A moderate amount of the time","Most of the time","A small amount of the time","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all","Br3","2 people dancing dramatically, stairs in a luxurious building, red carpet","Mostly","Moderately","Moderately","Br4","Running man in rush - main character in play","Mostly","Mostly","Moderately","Growing plant, ocean wave",NA,"106","27","Female","Frequently",25,"C"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Please see my first comment - I think about the form and performance of the piece. The Beethoven and Brahms are very familiar - and so I ___ the performers in my head. The Hough is new and I tried to ____",NA,"107","90","Male","Very frequently",10,"E"
"Not at all","Not at all","Not at all","Not at all","Not at all","A small amount of the time","A small amount of the time","Not at all","A small amount of the time",NA,NA,"Not at all","Not at all","Not at all",NA,NA,"Not at all","Not at all","Not at all",NA,"It makes me feel like I am supposed to have a particular experinece. Am I not getting something from the music that I should? Because of this feeling the survey detracts from my experience","108","74","Female","Frequently",0,"F"
"A moderate amount of the time","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","Not at all","Br1","I thought about a time around 20 years ago when I performed a piano trio, from the same Romantic period, which sounded very much like this first movement. I still can't recall the piece or even the composer (though I remember she was female)","Entirely","Entirely","Entirely","Br3","Our hero rides on horseback, at first jauntily, then more urgently, as he is being pursued by a foe. The urgency builds, until the foe is dangerously close - Then in a moment, our hero breaks away in triumph. (Alas, this all played out again at the recapitualation)","Entirely","Entirely","Mostly",NA,"For the second part, I was more focused on trying to let my mind drift from the music","109","51","Male","Frequently",45,"C"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","Br2","Beethoven 5th symphony","Entirely","Entirely","Moderately",NA,NA,NA,"Entirely","Slightly","Throughout I enjoyed the beautiful sound of the strings. To me like Aura Sojslive Mutter","Good idea","110","91","Male","Very frequently",0,"C"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"no memories",NA,NA,NA,NA,NA,NA,NA,NA,NA,"very intrusive","111","72","Female","Frequently",NA,"H"
"A small amount of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","Most of the time","Not at all","A small amount of the time","Not at all","Br3","A chase at the start of the movement","Mostly","Mostly","Slightly",NA,NA,NA,NA,NA,"I was mostly focused on the music, musicians and instruments. How the players communicate with each other; how the music moves from instrument to instrument; how the musicians move with their instruments",NA,"112","63","Male","Frequently",0,"A"
"Not at all","A moderate amount of the time","A small amount of the time","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"No memories",NA,NA,NA,"Br2","The scene involved the interplay of the music - vibrations, light of varying intensity, bouncing energy","Entirely","Entirely","Moderately",NA,NA,"113","60","Female","Somewhat rarely",1,"C"
"Not at all","Not at all","Not at all","All of the time","Not at all","All of the time","Not at all","Not at all","Not at all","Br3","Taking my son to the Young People's Concerts at Avery Fisher Hall in NYC when he was 6 or 7","Entirely","Moderately","Mostly",NA,"I did not experience fictional imagings when listening to this piece",NA,NA,NA,NA,NA,"114","60","Female","Frequently",10,"F"
"Not at all","Not at all","A small amount of the time","Not at all","Not at all","Most of the time","Most of the time","Not at all","A moderate amount of the time","Br1","No memories, i was enjoying the music and some thoughts of home plans","Not at all",NA,NA,"Br1","planning an interview I have tomorrow about an art gallery internship","Not at all","Mostly",NA,"You should ask different questions for every genre of music. Contemporary yield different results than classical; this shouldn't be grouped together",NA,"115","19","Prefer not to say","Moderately frequently",12,"A"
"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all","Br1, Br3","I know the piece and I just sang it in my head and analyzed how they were playing","Entirely","Entirely","Not at all",NA,"none",NA,NA,NA,NA,NA,"116","57","Female","Very frequently",NA,"A"
"Not at all","A small amount of the time","Not at all","Not at all","Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all",NA,"Thinking of the structure and how the stessed. The roof was dish blind the design, ___ - the columns","Not at all","Moderately","Entirely",NA,"no ficiton","Not at all","Not at all","Not at all",NA,"very strange questions just enjoy the music","117","81","Male","Frequently",NA,"C"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","All of the time","Not at all","Not at all","Not at all",NA,"My mind was not on memories",NA,NA,NA,NA,NA,NA,NA,NA,"The second movement was the most beautiful to me","No - I'm afraid I probably was not very helpful because the music didn't evoke any of the responses you provided","118","75","Female","Moderately frequently",NA,"B"
"Most of the time","A moderate amount of the time","A small amount of the time","Most of the time","Most of the time","Most of the time","Most of the time","A small amount of the time","A moderate amount of the time","Br3","Marching in a castle settling of a being in a cathedral.","Mostly","Mostly","Moderately","Br2","Running through a forest","Mostly","Mostly","Moderately",NA,"I need more time to complete it","119","82","Female","Moderately frequently",50,"B"
"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,"Br1","Brahms sharing trespassing, at the beginning of the movement, tomult and mixed strong feelings, various thoughts crossed his thoughts, some more positive and than others. Towards the end of the movement, there is a conscious of thought and determination to a forward.","Mostly","Mostly","Mostly","Br3","Feeling of success and victory over adversity, celebration, and full feeling.","Entirely","Entirely","Moderately","Emotional touching movement III, IV","Interesting!","120","84","Male","Moderately frequently",0,"F"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A moderate amount of the time","Br1",NA,"Not at all","Mostly","Mostly","Br1",NA,"Not at all","Not at all","Not at all",NA,NA,"Sep0403","48","Male","Frequently",20,"D"
"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Br1",NA,"Not at all","Entirely","Entirely","Br1",NA,"Not at all","Entirely","Entirely",NA,NA,"Sep1864","36","Male","Very frequently",33,"H"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","Most of the time","A small amount of the time","A moderate amount of the time","Br3","Like the racetrack!","Mostly",NA,"Entirely","Br3","Racetrack","Mostly","Entirely","Entirely",NA,NA,"01/07/9850",NA,NA,NA,NA,NA
"A moderate amount of the time","A moderate amount of the time","Not at all","A small amount of the time","Not at all","All of the time","Not at all","Not at all","Not at all","Br3",NA,"Not at all","Entirely","Entirely","Br3",NA,"Slightly","Moderately","Mostly",NA,NA,"01/10/2743","51","Male","Frequently",0,"D"
"Most of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","All of the time","Most of the time","A moderate amount of the time","A moderate amount of the time","Br3",NA,"Slightly","Slightly","Mostly","Br3",NA,"Moderately","Mostly","Mostly",NA,NA,"01/10/5716","20","Female","Very frequently",15,"K"
"A small amount of the time","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","Most of the time","A moderate amount of the time","Br1",NA,"Mostly","Mostly","Mostly","Br1",NA,"Moderately","Mostly","Moderately",NA,NA,"01/06/6797","52","Male","Very frequently",0,"G"
"Not at all","Not at all","A moderate amount of the time","Not at all","Not at all","Most of the time","A moderate amount of the time","Not at all","A small amount of the time","Br3","Calm","Moderately","Moderately","Moderately","Br3","Calm","Moderately","Moderately","Moderately",NA,NA,"aug318","53","Male","Moderately frequently",18,"I"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A small amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","Br2","I don't know if this counts as a memory. But I remembered conversations I have had with my advisor and collaborators, and gathered my thoughts about my plans for my research","Slightly","Mostly","Entirely","Br3","I imagined making various travel plans for later this year. A road trip in Northern California. A solo trip to Marrakech. Among others","Moderately","Mostly","Mostly",NA,NA,"01/08/2552","26","Male","Frequently",10,"K"
"A moderate amount of the time","A small amount of the time","Not at all","Most of the time","A small amount of the time","All of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br3","Meeting a new friend for the first time - but focusing on the social anxiety/uncertainty/awkwardness","Mostly","Mostly","Mostly","Br3","An army at war - staccato notes punctuating the march of a thousand soldiers. Torrential rain.","Mostly","Slightly","Moderately","The first movement evoked images of a gothic castle, also within a scene of torrential rain.",NA,"Jan1100",NA,NA,NA,NA,NA
"Not at all","Not at all","Not at all","All of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br1","I remember buying the CD in 1998 and the room I listened to it.","Entirely","Slightly","Entirely","Br4","I was thinking about Brahms the man himself and how he might have felt","Entirely","Entirely","Entirely","I was focusing on the piano technique as I am an amateur pianist myself.",NA,"Aug1588","50","Male","Very frequently",30,"H"
"A small amount of the time","Not at all","Not at all","A small amount of the time","Not at all","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br2","Reminded me of a lullaby","Moderately","Moderately","Slightly","Br3","Military parade","Mostly","Mostly","Slightly",NA,NA,"Jun1295","64","Female","Very frequently",5,"J"
"A moderate amount of the time","Not at all","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","Most of the time","Not at all","A small amount of the time","Br1","its like i was walking down the halls of a castle/giant royal building","Mostly","Slightly","Moderately","Br4","epic boss battle","Slightly","Mostly","Slightly",NA,"make the qr code on the paper form. also specify from the beginning that by memory you mean personal experienced memory, not made up memory","01/04/5778","16","Other","Somewhat rarely",10,"F"
"A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br3","Dramatic, rocking","Entirely","Not at all","Entirely","Br1","Drama, fantasy","Entirely","Entirely","Entirely",NA,"Great survey practice!","01/11/6593","59","Male","Frequently",0,"I"
"A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br2","wildlife, river running through, bird singing; myself playing piano when I was a child. The genre was so beautiful","Mostly","Mostly","Moderately","Br4","Thought about the scenes in the game I played. Thought about my first date. Thoughts about my room during childhood","Mostly","Slightly","Moderately",NA,NA,"mhy","28","Female","Very rarely",10,"B"
"Not at all","Not at all","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br3","Traveling with family, children young-","Slightly","Entirely","Moderately","Br4","Not much of a story- bits and pieces","Slightly","Slightly","Moderately",NA,NA,"feb1680","55","Male","Moderately frequently",0,"I"
